nome,sexo,nacionalidade,nascimento,genero
Taylor Swift;F;Norte-americana;1989;Pop
Chino Moreno;M;Norte-americano;1973;Metal
Chester Bennington;M;Norte-americano;1976;Metal
Megan Skindiel;F;Norte-americana;2006;Pop
Olivia Rodrigo;F;Norte-americana;2003;Rock
Ariana Grande;F;Norte-americana;1993;Pop
Mike Shinoda;M;Norte-americano;1977;Metal
David Bowie;M;Britânico;1947;Rock
Ozzy Osbourne;M;Britânico;1948;Metal
Avril Lavigne;F;Canadense;1984;Rock
Morrissey Smith;M;Britânico;1959;Rock
Robert Smith;M;Britânico;1959;Rock
Jeon Jung-kook;M;Sul-Coreano;1997;Kpop
Chris Brown;M;Norte-americano;1989;R&B
August Alsina;M;Norte-americano;1992;R&B
Amy Lee;F;Norte-americana;1981;Metal
Thom Yorke;M;Britânico;1968;Rock
Justin Bieber;M;Canadense;1994;Pop
Eddie Vedder;M;Norte-americano;1964;Rock
Chris Cornell;M;Norte-americano;1964;Rock
Emily Armstrong;F;Norte-americana;1986;"Rock
Jennie Kim;F;Sul-coreana;1996;Kpop
Kim Ji-soo;F;Sul-coreana;1995;Kpop
Lalisa Manobal;F;Sul-coreana;1997;Kpop
Roseanne Park;F;Sul-coreana;1997;Kpop
Zayn Malik;M;Britânico;1993;Pop
Tate McRae;F;Canadense;2003;Pop
Peter Steele;M;Norte-americano;1962;Metal
Christina Aguilera;F;Norte-americana;1980;Pop
Britney Spears;F;Norte-americana;1981;Pop
Gwen Stefani;F;Norte-americana;1969;Pop
Kendrick Lamar;M;Norte-americano;1987;Rap
Drake Graham";M;Canadense;1986;R&B
Roberto Carlos";M;Brasileiro;1941;MPB
Almir Sater;M;Brasileiro;1966;Sertanejo
Di Ferrero;M;Brasileiro;1985;Rock
Chico Buarque;M;Brasileiro;1944;MPB
Rita Lee;F;Brasileira;1947;Rock
Tom Jobim;M;Brasileiro;1927;MPB
Marina Sena;F;Brasileira;1996;MPB
Axl Rose;M;Norte-americano;1962;Rock
Dave Grohl;M;Norte-americano;1969;Rock
Hayley Williams;F;Norte-americana;1988;Rock
Gerard Way;M;Norte-americano;1977;Rock
Caetano Veloso;M;Brasileiro;1942;MPB
Gilberto Gil;M;Brasileiro;1942;MPB
Maria Bethania;F;Brasileira;1946;MPB
Gal Costa;F;Brasileira;1945;MPB
Irene Bae;F;Sul-coreana;1991;Kpop
Seulgi Kang;F;Sul-coreana;1994;Kpop
Wendy Son;F;Sul-coreana;1994;Kpop
Karina Yoo;F;Sul-coreana;2000;Kpop
Winter Kim;F;Sul-coreana;2001;Kpop
Noel Gallagher;M;Britânico;1967;Rock
Liam Gallagher;M;Britânico;1972;Rock
Lana Del Rey;F;Norte-americana;1985;Pop
Alceu Valença;M;Brasileiro;1946;MPB
G-Dragon Kwon;M;Sul-coreano;1988;Kpop
T.O.P Choi;M;Sul-coreano;1987;Kpop
Sebastian Bach;M;Canadense;1968;Rock
Mick Jagger;M;Britânico;1943;Rock
Damon Albarn;M;Britânico;1968;Rock
Kurt Cobain;M;Norte-americano;1967;Rock
Dave Grohl;M;Norte-americano;1969;Rock
Billy Corgan;M;Norte-americano;1967;Rock
Serj Tankian;M;Armênio-americano;1967;Rock
Daniela Avanzini;F;Norte-americana;2004;Kpop
Lara Rajagopalan;F;Norte-americana;2005;Kpop
Manon Bannerman;F;Suíça;2002;Kpop
Sophia Laforteza;F;Filipina;2002;Kpop
Yoonchae Jeong;F;Sul-coreana;2007;Kpop
Nelly Furtado;F;Canadense;1978;Pop
Hanni Pham;F;Australiana;2004;Kpop
Minji Kim;F;Sul-coreana;2004;Kpop
Danielle Marsh;F;Australiana;2005;Kpop
Haerin Kang;F;Sul-coreana;2006;Kpop
Hyein Lee;F;Sul-coreana;2008;Kpop
The Weeknd;M;Canadense;1990;R&B
Billie Eilish;F;Norte-americana;2001;Pop
Selena Gomez;F;Norte-americana;1992;Pop
Miley Cyrus;F;Norte-americana;1992;Pop
Demi Lovato;F;Norte-americana;1992;Pop
Katy Perry;F;Norte-americana;1984;Pop
Lady Gaga;F;Norte-americana;1986;Pop
Chappell Roan;F;Norte-americana;1998;Pop
Calvin Harris;M;Britânico;1984;Pop
David Guetta;M;Francês;1967;Pop
Avicii Bergling;M;Sueco;1989;Pop
Zara Larsson;F;Sueca;1997;Pop
Frank Ocean;M;Norte-americano;1987;Pop
Corey Taylor;M;Norte-americano;1973;Metal
Joe Hahn;M;Norte-americano;1977;Metal
Usher Raymond;M;Norte-americano;1978;R&B
Phoebe Bridgers;F;Norte-americana;1994;Folk
Clairo;F;Norte-americana;1998;Indie
Girl in Red;F;Norueguesa;1999;Indie
Ana Caetano;F;Brasileira;1994;MPB
Vitória Falcão;F;Brasileira;1995;MPB
Dido;F;Britânica;1971;Pop
Alex Turner;M;Britânico;1986;Indie
Beabadoobee;F;Filipina;2000;Indie
Sufjan Stevens;M;Norte-americano;1975;Indie
Jesse Rutherford;M;Norte-americano;1991;Indie
Mac DeMarco;M;Canadense;1990;Indie
Tyler Joseph;M;Norte-americano;1988;Rock
Mitchel Cave;M;Australiano;1996;Pop
